caseid,Google_Search_Referals,Facebook_Time,Twitter_Time,NG_Site_visits
1147325327,NA,37.05,0.6,418
1147338125,NA,NA,NA,21
1147357513,NA,26.983333333333334,7,1522
1147357933,NA,NA,NA,42
1149913275,NA,NA,0.3,518
1149913277,NA,3.1666666666666665,NA,66
1149913281,NA,NA,NA,401
1149913289,NA,NA,NA,185
1149913291,NA,NA,26.383333333333333,176
1149913297,NA,0.95,NA,166
1149913303,NA,11.616666666666667,NA,297
1149913313,NA,4.333333333333333,NA,14
1149913315,NA,3.7,3.0833333333333335,76
1149913325,NA,NA,NA,19
1149913329,NA,NA,NA,2
1149913335,NA,10.883333333333333,NA,204
1149913353,NA,18.216666666666665,NA,740
1149913361,NA,NA,NA,21
1149913369,NA,361.3333333333333,NA,282
1149913371,1,12.566666666666666,NA,7
1149913373,NA,NA,NA,418
1149913375,NA,13.466666666666667,1.6333333333333333,488
1149913377,NA,123.28333333333333,1.1,794
1149913387,NA,NA,NA,253
1149913393,NA,NA,NA,95
1149913395,NA,14.016666666666667,NA,191
1149913397,NA,72.51666666666667,NA,153
1149913399,NA,NA,49.983333333333334,495
1149913405,NA,0.38333333333333336,NA,94
1149913409,NA,8.25,NA,348
1149913413,NA,NA,NA,33
1149913415,1,0.8666666666666667,0.08333333333333333,220
1149913417,1,5.5,NA,187
1149913421,NA,3.9166666666666665,NA,351
1149913427,NA,13.916666666666666,0.5833333333333334,67
1149913433,NA,14.833333333333334,2.65,891
1149913435,NA,NA,NA,4
1149913439,NA,1.4166666666666667,NA,5
1149913441,NA,15.633333333333333,NA,59
1149913443,NA,0.21666666666666667,4.633333333333334,546
1149913445,69,60.38333333333333,1.1333333333333333,997
1149913453,NA,NA,NA,204
1149913455,NA,18.616666666666667,9.9,1202
1149913467,NA,NA,NA,892
1149913475,NA,3.9,NA,128
1149913477,NA,29.483333333333334,3.05,264
1149913483,NA,2.2333333333333334,1.3666666666666667,163
1149913511,NA,0.23333333333333334,NA,714
1149913513,NA,0.13333333333333333,NA,3
1149913517,NA,NA,NA,175
1149913519,5,9.166666666666666,1.7833333333333334,949
1149913549,NA,0.6666666666666666,NA,117
1149913569,NA,NA,13.85,463
1149913575,NA,NA,NA,32
1149913577,NA,NA,NA,245
1149913583,NA,2.45,NA,38
1149913585,NA,NA,NA,373
1149913591,NA,0.13333333333333333,NA,200
1149913635,8,0.6,0.03333333333333333,508
1149913703,45,38.86666666666667,NA,7625
1149913731,NA,NA,NA,4
1149913737,NA,NA,NA,113
1149913749,3,3.1,69.48333333333333,3731
1149913763,NA,7.916666666666667,NA,395
1149913765,NA,0.16666666666666666,NA,52
1149913775,NA,NA,NA,1
1149913777,NA,0.45,NA,762
1149913781,NA,NA,NA,3
1149913783,NA,NA,NA,145
1149913805,NA,NA,NA,871
1149913819,NA,NA,NA,8
1149913837,NA,3.6666666666666665,0.16666666666666666,113
1149913839,NA,NA,NA,20
1149913841,NA,0.2,NA,66
1149913855,NA,NA,NA,15
1149913861,NA,0.8166666666666667,NA,23
1149913865,NA,0.25,NA,53
1149913897,NA,NA,0.23333333333333334,602
1149913909,3,1.7666666666666666,0.7166666666666667,226
1149913935,1,44.25,NA,337
1149913937,NA,0.45,NA,52
1149913979,NA,0.4,NA,30
1149913999,NA,NA,NA,1
1149914039,NA,NA,NA,264
1149914049,NA,NA,NA,1
1149914067,NA,0.16666666666666666,NA,918
1150928257,NA,0.9166666666666666,NA,185
1150928263,NA,NA,NA,12
1150928265,NA,190.31666666666666,NA,50
1150928269,NA,4.666666666666667,3.4,88
1150928277,NA,NA,4.3,626
1150928279,NA,13.6,NA,106
1150928283,NA,1.3166666666666667,NA,29
1150928287,NA,0.15,NA,66
1150928291,NA,4.15,NA,191
1150928297,NA,NA,NA,22
1150928299,NA,1.15,NA,66
1150928301,NA,0.5166666666666667,NA,203
1150928303,NA,48.3,NA,242
1150928305,NA,67.83333333333333,0.03333333333333333,343
1150928315,NA,NA,NA,31
1150928319,NA,NA,NA,57
1150928325,NA,2.783333333333333,NA,110
1150928339,NA,0.016666666666666666,NA,223
1150928343,NA,28.733333333333334,NA,2187
1150928345,NA,20.133333333333333,0.18333333333333332,385
1150928347,NA,NA,NA,17
1150928359,NA,NA,NA,2
1150928363,8,12.483333333333333,1.8666666666666667,1347
1150928367,NA,NA,NA,50
1150928369,NA,0.3,NA,48
1150928371,NA,0.7833333333333333,NA,424
1150928379,NA,NA,NA,14
1150928397,NA,0.06666666666666667,NA,172
1150928401,NA,11.183333333333334,NA,274
1150928403,NA,NA,NA,1
1150928413,NA,389.06666666666666,36.016666666666666,306
1150928415,NA,3.183333333333333,NA,306
1150928419,NA,NA,NA,4
1150928421,NA,4.983333333333333,19.3,251
1150928431,NA,5.083333333333333,NA,746
1150928433,NA,18.183333333333334,NA,70
1150928437,NA,NA,NA,23
1150928439,NA,20.45,1.0333333333333334,150
1150928453,NA,2.033333333333333,NA,189
1150928455,NA,30.35,0.18333333333333332,971
1150928457,NA,60.583333333333336,4.85,892
1150928461,NA,11,NA,128
1150928463,5,2.1,NA,264
1150928465,NA,63.56666666666667,81.83333333333333,774
1150928473,NA,NA,NA,168
1150928475,NA,0.2,0.016666666666666666,92
