caseid,Google_Search_Referals,Facebook_Time,Twitter_Time,NG_Site_visits
1147325327,NA,400.9,15.916666666666666,418
1147338125,NA,8.283333333333333,NA,21
1147357513,203,63.96666666666667,139.06666666666666,1522
1147357933,3,9.45,1.5166666666666666,42
1149913275,34,1.5,0.7333333333333333,518
1149913277,NA,60.61666666666667,NA,66
1149913281,NA,22.15,NA,401
1149913289,25,NA,2.7333333333333334,185
1149913291,120,9.55,1222.25,176
1149913297,94,37.6,3.4166666666666665,166
1149913303,NA,101.85,NA,297
1149913313,NA,9.45,NA,14
1149913315,NA,330.05,13.166666666666666,76
1149913325,50,4.95,36.46666666666667,19
1149913329,3,0.016666666666666666,NA,2
1149913335,NA,674.45,NA,204
1149913349,NA,0.65,NA,NA
1149913353,NA,433.06666666666666,0.25,740
1149913361,11,NA,0.55,21
1149913369,126,1673.1666666666667,8.733333333333333,282
1149913371,NA,115.05,11.583333333333334,7
1149913373,193,2.4,0.05,418
1149913375,NA,173.88333333333333,225.33333333333334,488
1149913377,838,3981.15,115.36666666666666,794
1149913387,NA,11.133333333333333,NA,253
1149913393,42,NA,NA,95
1149913395,19,266.1166666666667,NA,191
1149913397,155,603.4166666666666,2.066666666666667,153
1149913399,62,5.966666666666667,352.81666666666666,495
1149913405,NA,108.61666666666666,3.716666666666667,94
1149913409,NA,143.53333333333333,NA,348
1149913413,57,NA,NA,33
1149913415,NA,284.15,13.233333333333333,220
1149913417,NA,55.46666666666667,0.11666666666666667,187
1149913421,25,46.983333333333334,2.8333333333333335,351
1149913427,131,425.78333333333336,11.1,67
1149913433,NA,182.36666666666667,3.55,891
1149913435,6,6.283333333333333,NA,4
1149913439,33,405.23333333333335,NA,5
1149913441,16,175.26666666666668,3.2,59
1149913443,31,117.85,237.91666666666666,546
1149913445,NA,211.35,1.1,997
1149913453,129,2.7333333333333334,1.4,204
1149913455,NA,48.8,12.866666666666667,1202
1149913467,134,2.3666666666666667,3.5,892
1149913475,39,195.38333333333333,2.5166666666666666,128
1149913477,81,261.3333333333333,29.416666666666668,264
1149913483,NA,47.85,0.16666666666666666,163
1149913511,489,35.35,NA,714
1149913513,15,35.333333333333336,NA,3
1149913517,12,5.016666666666667,NA,175
1149913519,NA,496.0833333333333,95.75,949
1149913549,1,75.4,NA,117
1149913569,NA,NA,729.2333333333333,463
1149913575,3,2,1.05,32
1149913577,176,0.43333333333333335,0.06666666666666667,245
1149913583,NA,138.33333333333334,3.5166666666666666,38
1149913585,4,73.31666666666666,NA,373
1149913591,NA,175.51666666666668,0.25,200
1149913635,NA,16.45,1.4333333333333333,508
1149913657,17,NA,NA,NA
1149913703,NA,467.1333333333333,NA,7625
1149913731,NA,754.0833333333334,NA,4
1149913737,16,NA,NA,113
1149913749,109,31.05,839.6833333333333,3731
1149913763,45,191.61666666666667,5.433333333333334,395
1149913765,10,25.483333333333334,NA,52
1149913775,56,NA,NA,1
1149913777,NA,11.266666666666667,26.033333333333335,762
1149913781,NA,6.133333333333334,NA,3
1149913783,14,0.06666666666666667,NA,145
1149913805,136,0.7166666666666667,1.95,871
1149913819,NA,4.966666666666667,NA,8
1149913837,118,138.43333333333334,1.35,113
1149913839,35,91.7,NA,20
1149913841,174,191.51666666666668,1.8166666666666667,66
1149913855,54,39.25,1.8666666666666667,15
1149913861,3,99.23333333333333,NA,23
1149913865,NA,59.916666666666664,NA,53
1149913891,1,0.31666666666666665,NA,NA
1149913897,135,62.583333333333336,10.766666666666667,602
1149913909,NA,372.05,23,226
1149913935,NA,421.46666666666664,2.033333333333333,337
1149913937,NA,26.933333333333334,1.0666666666666667,52
1149913979,NA,263.4,NA,30
1149913999,NA,22.883333333333333,0.7166666666666667,1
1149914039,149,50.916666666666664,0.18333333333333332,264
1149914049,NA,15.4,NA,1
1149914067,299,76.86666666666666,5.266666666666667,918
1150928257,1,6.15,2.15,185
1150928263,10,4.65,NA,12
1150928265,19,1900.5333333333333,NA,50
1150928269,23,35.15,16.116666666666667,88
1150928277,7,163.48333333333332,4.2,626
1150928279,NA,1017.0666666666667,0.08333333333333333,106
1150928283,51,477.3333333333333,2.3,29
1150928287,48,10.716666666666667,NA,66
1150928291,88,163.41666666666666,2.9166666666666665,191
1150928297,NA,118.55,NA,22
1150928299,13,164,1,66
1150928301,22,206.93333333333334,91.3,203
1150928303,33,633.55,NA,242
1150928305,NA,1613.8666666666666,61.31666666666667,343
1150928315,NA,9.816666666666666,NA,31
1150928319,51,5.616666666666666,0.23333333333333334,57
1150928325,239,192.76666666666668,0.3333333333333333,110
1150928339,3,64.55,72.15,223
1150928341,1,NA,NA,NA
1150928343,NA,764.9166666666666,5.516666666666667,2187
1150928345,1,459.8,24.133333333333333,385
1150928347,1,25.6,0.21666666666666667,17
1150928359,30,8.166666666666666,NA,2
1150928363,NA,413.45,41.31666666666667,1347
1150928367,23,7.733333333333333,5.3,50
1150928369,2,44.56666666666667,NA,48
1150928371,16,68.61666666666666,NA,424
1150928379,28,0.38333333333333336,NA,14
1150928397,NA,40.38333333333333,NA,172
1150928401,76,193.11666666666667,NA,274
1150928403,NA,13.65,0.85,1
1150928413,36,2775.516666666667,50.733333333333334,306
1150928415,48,46.733333333333334,NA,306
1150928419,1,177.98333333333332,12.566666666666666,4
1150928421,1,308.1666666666667,1383.2166666666667,251
1150928431,45,177.6,69.63333333333334,746
1150928433,114,905.55,4.816666666666666,70
1150928437,51,150,0.65,23
1150928439,99,719.2,51.983333333333334,150
1150928453,NA,110.41666666666667,0.31666666666666665,189
1150928455,194,308.2,13.366666666666667,971
1150928457,873,998.1833333333333,54.38333333333333,892
1150928461,43,2.3666666666666667,NA,128
