caseid,totalnewsbinary,totalnewscount,totalnewsduration,log_news,totalvisits,log_total,total_news_score_duration,Average_domain_NewsG_Score_dv,Count_Reliable_NewsG_Score_dv,Count_Unreliable_NewsG_Score_dv,Prop_Reliable_NewsG_Score_dv,Prop_Unreliable_NewsG_Score_dv,partisanship_news_diet_dv,Prop_Reliable_NewsG_Score_dv_dur,Prop_Unreliable_NewsG_Score_dv_dur,Count_Unreliable_NewsG_Score_dv_dur,Count_Reliable_NewsG_Score_dv_dur,Average_domain_NewsG_Score_dv_dur
1147325327,1,678,23585,6.519147287940395,7707,8.949884285777994,20272,74.3529900332226,2.7151673578484576,1.9294189257142926,0.7640117994100295,0.12389380530973451,1.2192270011660873,0.7217723129107484,0.1377570489718041,3249,17023,69.6963545777427
1147338125,1,2,110,0.6931471805599453,2311,7.745435610274381,98,100,0.3010299956639812,0,0.5,0,NaN,0.8909090909090909,0,0,98,100
1147357513,1,5170,113112,8.550627967502475,18708,9.836706518845777,13255,89.46694214876032,2.6848453616444123,0.3010299956639812,0.09342359767891682,1.9342359767891682e-4,-0.5034316604894777,0.11661892637385954,5.658108777141241e-4,64,13191,90.00362127499056
1147357933,1,129,11291,4.859812404361672,3699,8.215817791832453,710,87.48214285714286,1.4471580313422192,0.3010299956639812,0.20930232558139536,0.007751937984496124,0.4283084569687819,0.06252767691081393,3.542644584182092e-4,4,706,93.60985915492958
1149913275,1,828,150206,6.71901315438526,4197,8.34212526333359,31918,87.78769841269842,2.403120521175818,0,0.30434782608695654,0,0.22977025283758,0.2124948404191577,0,0,31918,87.74304467698478
1149913277,1,68,816,4.219507705176107,649,6.47543271670409,816,88.8970588235294,1.8388490907372552,0,1,0,-0.545245274909264,1,0,0,816,88.24754901960785
1149913281,1,758,23508,6.630683385642372,4580,8.429454277108231,23508,86.65633245382585,2.838849090737255,1.845098040014257,0.9089709762532981,0.09102902374670185,-0.9507558165756066,0.8207844138165731,0.17921558618342692,4213,19295,83.3640037434065
1149913289,1,261,28226,5.564520407322694,977,6.884486652042782,27794,96.42913385826772,2.406540180433955,0,0.9731800766283525,0,-0.42130470298047906,0.9846949620916885,0,0,27794,97.20497229617904
1149913291,1,332,41871,5.805134968916488,3994,8.29254851397576,35716,94.50333333333333,2.4756711883244296,0.47712125471966244,0.8975903614457831,0.006024096385542169,-0.6060734928051089,0.8466958037782714,0.006305079888228129,264,35452,95.7788666144025
1149913297,1,303,10105,5.713732805509369,4860,8.48879371689454,8981,95.28070175438596,2.44870631990508,0.7781512503836436,0.9240924092409241,0.0165016501650165,-0.776538166612469,0.8817417120237506,0.0070262246412667,71,8910,95.73510744905913
1149913303,1,266,6951,5.583496308781699,4046,8.305484017727691,6440,95.22972972972973,2.3483048630481607,0,0.8345864661654135,0,-0.33990674639455315,0.9264853977844915,0,0,6440,96.3667701863354
1149913313,1,265,50639,5.579729825986222,1150,7.047517221357296,47995,94.08964143426294,2.361727836017593,1.3617278360175928,0.8641509433962264,0.0830188679245283,-0.6545855207250485,0.8438752739983018,0.10391200458144909,5262,42733,93.10795916241275
1149913315,1,213,11871,5.3612921657094255,6283,8.745602852402946,11283,88.7964824120603,2.2576785748691846,1.3010299956639813,0.8450704225352113,0.0892018779342723,-0.2806429868376957,0.8906579058209081,0.059809620082554124,710,10573,90.22090756004609
1149913325,1,80,3004,4.382026634673881,3848,8.255308811785596,2681,74.73076923076923,1.6989700043360187,1.2304489213782739,0.6125,0.2,1.3224258449997555,0.5872170439414115,0.3052596537949401,917,1764,70.17064528161134
1149913329,0,0,0,-Inf,2,0.6931471805599453,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN
1149913335,1,322,3465,5.7745515455444085,3663,8.206037762778815,1380,92.01785714285714,2.1492191126553797,0,0.43478260869565216,0,0.0562295462289122,0.39826839826839827,0,0,1380,91.1376811594203
1149913349,0,0,0,-Inf,45,3.8066624897703196,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN
1149913353,1,1266,15476,7.143617602704121,10550,9.263881138904212,7319,90.2911877394636,3.016615547557177,0.8450980400142568,0.8199052132701422,0.004739336492890996,-0.28391550890541,0.46491341431894545,0.008012406306539157,124,7195,90.08334471922394
