caseid,totalnewsbinary,totalnewscount,totalnewsduration,log_news,totalvisits,log_total,Average_domain_NewsG_Score_dv,Count_Reliable_NewsG_Score_dv,Count_Unreliable_NewsG_Score_dv,Prop_Reliable_NewsG_Score_dv,Prop_Unreliable_NewsG_Score_dv,partisanship_news_diet_dv,Prop_Reliable_NewsG_Score_dv_dur,Prop_Unreliable_NewsG_Score_dv_dur
1147325621,0,0,0,-Inf,19,2.9444389791664403,NA,0,0,NA,NA,NA,NA,NA
1147338115,1,11,63,2.3978952727983707,216,5.375278407684165,87.7,1,0.3010299956639812,0.8181818181818182,0.09090909090909091,-0.201934816208431,0.5555555555555556,0.015873015873015872
1147338359,0,0,0,-Inf,13,2.5649493574615367,NA,0,0,NA,NA,NA,NA,NA
1147339983,1,2,177,0.6931471805599453,46,3.828641396489095,92.5,0.47712125471966244,0,1,0,NA,1,0
1147346933,1,201,3525,5.303304908059076,1896,7.547501682814967,87.52536231884058,2.143014800254095,0,0.6865671641791045,0,-0.15360699052471957,0.619290780141844,0
1147357899,1,5,126,1.6094379124341003,119,4.77912349311153,95,0.6989700043360189,0,0.8,0,-0.607989640471067,0.7777777777777778,0
1149913295,0,0,0,-Inf,131,4.875197323201151,NA,0,0,NA,NA,NA,NA,NA
1149913343,1,52,4638,3.9512437185814275,680,6.522092798170152,93.89423076923077,1.724275869600789,0,1,0,-0.3667292696004242,1,0
1149913379,1,61,778,4.110873864173311,4765,8.469052816088302,80.0925925925926,1.3617278360175928,0.7781512503836436,0.36065573770491804,0.08196721311475409,-0.21416543265069765,0.45629820051413883,0.2120822622107969
1149913431,1,8,76,2.0794415416798357,58,4.060443010546419,95.71428571428571,0.9030899869919435,0,0.875,0,-0.408785353573776,0.6578947368421053,0
1149913461,1,1326,75903,7.189922170745808,8476,9.04499391938819,94.81666666666666,2.7067177823367587,0.47712125471966244,0.38310708898944196,0.0015082956259426848,-0.5155072506622369,0.27262427045044335,2.634941965403212e-4
1149913469,1,339,29970,5.82600010738045,1260,7.138866999945524,96.35223880597015,2.5237464668115646,0.47712125471966244,0.9823008849557522,0.0058997050147492625,-0.7798560621343543,0.9887554220887554,0.005739072405739072
1149913473,1,215,25796,5.3706380281276624,1045,6.951772164398911,97.34651162790698,2.3324384599156054,0.3010299956639812,0.9953488372093023,0.004651162790697674,-0.4248306845762454,0.9993797487982633,6.202512017367033e-4
1149913483,1,11,194,2.3978952727983707,410,6.016157159698354,100,1.0791812460476249,0,1,0,NA,1,0
