caseid,totalnewsbinary,totalnewscount,totalnewsduration,log_news,totalvisits,log_total,Average_domain_NewsG_Score_post,Count_Reliable_NewsG_Score_post,Count_Unreliable_NewsG_Score_post,Prop_Reliable_NewsG_Score_post,Prop_Unreliable_NewsG_Score_post,partisanship_news_diet_post,Prop_Reliable_NewsG_Score_post_dur,Prop_Unreliable_NewsG_Score_post_dur
1147325621,0,0,0,-Inf,32,3.4657359027997265,NA,0,0,NA,NA,NA,NA,NA
1147346933,1,150,2985,5.0106352940962555,1263,7.141245122350491,84.46456692913385,2.1072099696478683,0,0.8466666666666667,0,0.4000404878566607,0.857286432160804,0
1147357899,0,0,0,-Inf,31,3.4339872044851463,NA,0,0,NA,NA,NA,NA,NA
1149913295,0,0,0,-Inf,32,3.4657359027997265,NA,0,0,NA,NA,NA,NA,NA
1149913343,1,53,1878,3.970291913552122,274,5.6131281063880705,96.93396226415095,1.7323937598229686,0,1,0,-0.6135368628117114,1,0
1149913379,1,19,271,2.9444389791664403,1534,7.335633981927201,95.625,0.9542425094393249,0,0.42105263157894735,0,NA,0.0959409594095941,0
1149913431,1,8,490,2.0794415416798357,36,3.58351893845611,94.0625,0.9542425094393249,0,1,0,-0.2663180586089668,1,0
1149913461,1,494,28346,6.202535517187923,2504,7.825644732219989,96.54166666666667,2.1583624920952498,0.3010299956639812,0.2894736842105263,0.0020242914979757085,-0.5136009867792377,0.1534608057574261,0
1149913469,1,174,18108,5.159055299214529,521,6.255750041753367,95.3699421965318,2.2380461031287955,0.3010299956639812,0.9885057471264368,0.005747126436781609,-0.8463957735438227,0.9911089021426993,0.006129887342611001
1149913473,1,151,11553,5.017279836814924,962,6.8690144506657065,98,2.1789769472931693,0,0.9933774834437086,0,-0.39354523911305217,0.9612221933696875,0
1149913483,1,1,0,0,115,4.74493212836325,100,0.3010299956639812,0,1,0,NA,NA,NA
1149913487,1,11,2815,2.3978952727983707,415,6.028278520230698,86,1.0413926851582251,0,0.9090909090909091,0,-0.136536185313346,1,0
1149913535,1,487,21906,6.18826412308259,5563,8.623892810075294,97.19651741293532,2.60422605308447,0.3010299956639812,0.8234086242299795,0.002053388090349076,-0.6703944034832583,0.8537387017255547,4.108463434675431e-4
1149913539,1,4,318,1.3862943611198906,83,4.418840607796598,90.625,0.6989700043360189,0,1,0,NA,1,0
1149913555,1,28,157,3.332204510175204,207,5.332718793265369,90.74074074074075,1.4471580313422192,0,0.9642857142857143,0,0.06201800302046723,0.7961783439490446,0
1149913579,1,8,461,2.0794415416798357,45,3.8066624897703196,87.5,0.6020599913279624,0,0.375,0,NA,0.5661605206073753,0
1149913637,1,8,227,2.0794415416798357,406,6.0063531596017325,89.0625,0.9542425094393249,0,1,0,NA,1,0
1149913751,1,2,0,0.6931471805599453,97,4.574710978503383,100,0.3010299956639812,0,0.5,0,NA,NA,NA
1149913785,1,197,8116,5.2832037287379885,2265,7.725330037917135,84.48863636363636,1.6020599913279623,0.7781512503836436,0.19796954314720813,0.025380710659898477,-0.30974001441579074,0.19911286347954657,0.015278462296697881
1149913929,1,27,1781,3.295836866004329,103,4.634728988229636,90.97826086956522,1.380211241711606,0,0.8518518518518519,0,-1.78259750330479,0.9966311061201573,0
1149913943,0,0,0,-Inf,9,2.1972245773362196,NA,0,0,NA,NA,NA,NA,NA
1149913963,1,97,5906,4.574710978503383,516,6.246106765481563,68.25,1.7481880270062005,1.2041199826559248,0.5670103092783505,0.15463917525773196,1.2441488972996575,0.7722654927192686,0.13511683034202507
1150928255,1,2,8,0.6931471805599453,72,4.276666119016055,90,0.47712125471966244,0,1,0,NA,1,0
1150928285,1,55,4184,4.007333185232471,103,4.634728988229636,87.4090909090909,1.7481880270062005,0,1,0,-0.26837920811668997,1,0
1150928295,1,31,2392,3.4339872044851463,423,6.0473721790462776,95.31666666666666,1.4913616938342726,0,0.967741935483871,0,-0.1488172959454417,0.9987458193979933,0
1150928365,1,5,257,1.6094379124341003,644,6.467698726104354,91.5,0.7781512503836436,0,1,0,NA,1,0
1150928399,0,0,0,-Inf,103,4.634728988229636,NA,0,0,NA,NA,NA,NA,NA
1150928443,1,5,57,1.6094379124341003,79,4.3694478524670215,100,0.7781512503836436,0,1,0,NA,1,0
1150928495,1,17,1280,2.833213344056216,132,4.882801922586371,91.71875,1.2304489213782739,0,0.9411764705882353,0,-0.585447637599171,0.30859375,0
1150928497,1,9,871,2.1972245773362196,210,5.3471075307174685,86.66666666666667,1,0,1,0,2.55838067595341,1,0
1150928513,1,12,2190,2.4849066497880004,203,5.313205979041787,94.375,1.1139433523068367,0,1,0,-0.25886156290572465,1,0
1150928561,1,18,158,2.8903717578961645,3423,8.138272638530186,87.5,0.3010299956639812,0,0.05555555555555555,0,NA,0.18354430379746836,0
1150928579,0,0,0,-Inf,35,3.5553480614894135,NA,0,0,NA,NA,NA,NA,NA
1150928657,1,7,116,1.9459101490553132,262,5.568344503761097,91.35714285714286,0.8450980400142568,0.3010299956639812,0.8571428571428571,0.14285714285714285,-2.11884486738009,0.9655172413793104,0.034482758620689655
1150928735,1,5,673,1.6094379124341003,5991,8.698013622083925,85,0.7781512503836436,0,1,0,NA,1,0
1150928815,0,0,0,-Inf,1,0,NA,0,0,NA,NA,NA,NA,NA
1150928915,0,0,0,-Inf,3,1.0986122886681098,NA,0,0,NA,NA,NA,NA,NA
1150928929,1,5,295,1.6094379124341003,58,4.060443010546419,85.5,0.7781512503836436,0,1,0,1.34051385804251,1,0
1150928983,1,22,634,3.091042453358316,341,5.831882477283517,90.325,1.2787536009528289,0.47712125471966244,0.8181818181818182,0.09090909090909091,-0.13869837428459725,0.7886435331230284,0.19400630914826497
1150929009,1,2,419,0.6931471805599453,50,3.912023005428146,96.25,0.47712125471966244,0,1,0,-0.408785353573776,1,0
1150929031,0,0,0,-Inf,97,4.574710978503383,NA,0,0,NA,NA,NA,NA,NA
1150929037,1,1,166,0,91,4.51085950651685,37.5,0,0.3010299956639812,0,1,1.54039575161562,0,1
1150929121,1,7,240,1.9459101490553132,72,4.276666119016055,87.5,0.6989700043360189,0,0.5714285714285714,0,-0.720045061591397,0.7166666666666667,0
1150929171,1,230,3546,5.438079308923196,428,6.059123195581797,86.23913043478261,2.3541084391474008,0.7781512503836436,0.9782608695652174,0.021739130434782608,1.4140387119725646,0.9495205865764241,0.05047941342357586
1150929183,1,42,1647,3.7376696182833684,170,5.135798437050262,91.7439024390244,1.6127838567197355,0.3010299956639812,0.9523809523809523,0.023809523809523808,0.008907866293679026,0.9981785063752276,0.0018214936247723133
1150929191,1,16,51,2.772588722239781,99,4.59511985013459,94.83333333333333,1.2041199826559248,0,0.9375,0,-0.6493650066615182,0.7450980392156863,0
1150929193,1,1,104,0,82,4.406719247264253,100,0.3010299956639812,0,1,0,NA,1,0
1150929269,0,0,0,-Inf,458,6.126869184114185,NA,0,0,NA,NA,NA,NA,NA
1150929345,1,9,7,2.1972245773362196,64,4.1588830833596715,93.88888888888889,1,0,1,0,-0.19501642705116934,1,0
1150929457,1,6,129,1.791759469228055,99,4.59511985013459,100,0.6020599913279624,0,0.5,0,NA,0.9767441860465116,0
1150929465,1,46,2034,3.828641396489095,1142,7.040536390215956,50.02777777777778,1.1760912590556813,1.3617278360175928,0.30434782608695654,0.4782608695652174,1.4498672445292817,0.3072763028515241,0.47984267453294
1150929487,1,16,587,2.772588722239781,65,4.174387269895637,87.96875,1.2304489213782739,0,1,0,-0.37915412856796615,1,0
1150929573,0,0,0,-Inf,3,1.0986122886681098,NA,0,0,NA,NA,NA,NA,NA
1150929681,1,5,17,1.6094379124341003,15,2.70805020110221,NA,0,0,0,0,NA,0,0
1151615857,1,10,146,2.302585092994046,108,4.68213122712422,71.25,0.9030899869919435,0.6020599913279624,0.7,0.3,1.8505818047703388,0.1095890410958904,0.8904109589041096
1151615895,0,0,0,-Inf,18,2.8903717578961645,NA,0,0,NA,NA,NA,NA,NA
1151615905,1,54,15065,3.9889840465642745,1302,7.171656822768514,87.23958333333333,1.6901960800285136,0,0.8888888888888888,0,NA,0.9797543976103551,0
1151615907,1,14,943,2.6390573296152584,80,4.382026634673881,91.42857142857143,1.1760912590556813,0,1,0,-0.015394622766252327,1,0
1151615953,1,28,3705,3.332204510175204,801,6.68586094706836,91.23214285714286,1.462397997898956,0,1,0,0.7917305027340757,1,0
1151615971,0,0,0,-Inf,6,1.791759469228055,NA,0,0,NA,NA,NA,NA,NA
1151615973,1,4,1,1.3862943611198906,47,3.8501476017100584,100,0.6989700043360189,0,1,0,NA,1,0
1151615991,1,4,297,1.3862943611198906,176,5.170483995038151,94.375,0.6989700043360189,0,1,0,NA,1,0
1151615999,1,74,3022,4.30406509320417,672,6.5102583405231496,75.52702702702703,1.3222192947339193,1.255272505103306,0.2702702702702703,0.22972972972972974,0.2501793013598688,0.3639973527465255,0.21244209133024486
1151616027,1,2,20,0.6931471805599453,280,5.634789603169249,87.5,0.47712125471966244,0,1,0,NA,1,0
1151616043,0,0,0,-Inf,98,4.584967478670572,NA,0,0,NA,NA,NA,NA,NA
1151616093,1,1,416,0,179,5.187385805840755,100,0.3010299956639812,0,1,0,-0.720045061591397,1,0
1151616151,1,1,0,0,29,3.367295829986474,100,0.3010299956639812,0,1,0,0.031974641227115,NA,NA
1151616199,1,1,1,0,6,1.791759469228055,100,0.3010299956639812,0,1,0,NA,1,0
1151616205,1,30,1511,3.4011973816621555,185,5.220355825078324,82.41666666666667,1.2041199826559248,0.6020599913279624,0.5,0.1,-0.3591306566901448,0.056915949702183985,0.4367968232958306
1151616239,1,14,520,2.6390573296152584,290,5.66988092298052,88.57142857142857,1.146128035678238,0.3010299956639812,0.9285714285714286,0.07142857142857142,0.33693059664632,1,0
1151616271,0,0,0,-Inf,1,0,NA,0,0,NA,NA,NA,NA,NA
1151616283,1,44,467,3.784189633918261,1133,7.0326242610280065,89.875,1.6127838567197355,0,0.9090909090909091,0,0.640030344184321,0.9421841541755889,0
1151616385,1,70,3561,4.248495242049359,731,6.594413459749778,77.43243243243244,1.4313637641589874,1.0791812460476249,0.37142857142857144,0.15714285714285714,0.6558508700019249,0.2757652344846953,0.031451839370963214
1151616413,1,11,528,2.3978952727983707,164,5.099866427824199,97.5,0.6020599913279624,0,0.2727272727272727,0,NA,0.032196969696969696,0
1151616421,0,0,0,-Inf,6,1.791759469228055,NA,0,0,NA,NA,NA,NA,NA
1151616443,1,98,2994,4.584967478670572,2203,7.697575346802343,86.5721649484536,1.9912260756924949,0,0.9897959183673469,0,-0.4000728906580279,1,0
1151616483,1,12,729,2.4849066497880004,52,3.9512437185814275,97.5,1.1139433523068367,0,1,0,-0.5386479900170663,1,0
1151616491,1,18,338,2.8903717578961645,1623,7.392031567514591,81,0.8450980400142568,0.3010299956639812,0.3333333333333333,0.05555555555555555,NA,0.28402366863905326,0.011834319526627219
1151616519,1,495,19071,6.20455776256869,3642,8.200288260287554,81.93055555555556,2.550228353055094,0.8450980400142568,0.7151515151515152,0.012121212121212121,2.1126186360176558,0.7866394001363326,0.025378847464737037
1151616523,1,9,317,2.1972245773362196,1224,7.1098794630722715,86.94444444444444,1,0,1,0,-0.17154126605087625,1,0
1151616527,1,12,325,2.4849066497880004,73,4.290459441148391,93.95833333333333,1.1139433523068367,0,1,0,-0.3975610814835846,1,0
