caseid,totalnewsbinary,totalnewscount,totalnewsduration,log_news,totalvisits,log_total,Average_domain_NewsG_Score,Count_Reliable_NewsG_Score,Count_Unreliable_NewsG_Score,Prop_Reliable_NewsG_Score,Prop_Unreliable_NewsG_Score,partisanship_news_diet,Prop_Reliable_NewsG_Score_dur,Prop_Unreliable_NewsG_Score_dur
1147325621,0,0,0,-Inf,75,4.31748811353631,NA,0,0,NA,NA,NA,NA,NA
1147338115,1,30,625,3.4011973816621555,231,5.442417710521793,90,1.414973347970818,0,0.8333333333333334,0,NA,0.5376,0
1147338359,0,0,0,-Inf,83,4.418840607796598,NA,0,0,NA,NA,NA,NA,NA
1147346933,1,10,307,2.302585092994046,157,5.056245805348308,95.83333333333333,0.6020599913279624,0,0.3,0,NA,0.10749185667752444,0
1147357899,1,2,35,0.6931471805599453,53,3.970291913552122,100,0.47712125471966244,0,1,0,NA,1,0
1149913295,1,7,379,1.9459101490553132,96,4.564348191467836,96.42857142857143,0.9030899869919435,0,1,0,-0.17787959416964416,1,0
1149913343,1,31,2468,3.4339872044851463,472,6.156978985585555,90.16129032258064,1.505149978319906,0,1,0,-0.3032084685751182,1,0
1149913379,1,21,448,3.044522437723423,1250,7.1308988302963465,92.5,0.3010299956639812,0,0.047619047619047616,0,NA,0.31026785714285715,0
1149913431,1,6,450,1.791759469228055,81,4.394449154672439,95,0.8450980400142568,0,1,0,-0.7918280935370855,1,0
1149913461,1,351,15958,5.860786223465865,2712,7.905441649060286,95.8407643312102,2.1986570869544226,0,0.4472934472934473,0,-0.3633211125340204,0.3204035593432761,0
1149913469,1,209,14330,5.342334251964811,828,6.71901315438526,95.8274111675127,2.290034611362518,0.6020599913279624,0.9282296650717703,0.014354066985645933,-0.6482036489009776,0.9639916259595255,0.0014654570830425681
1149913473,1,313,31408,5.746203190540153,1324,7.188412736496954,96.24839743589743,2.4955443375464483,0,0.9968051118210862,0,-0.3996016958039831,0.9991085073866531,0
1149913483,1,1,50,0,254,5.537334267018537,100,0.3010299956639812,0,1,0,NA,1,0
1149913487,1,37,310,3.6109179126442243,851,6.7464121285733745,76.55405405405405,1.568201724066995,0.3010299956639812,0.972972972972973,0.02702702702702703,NA,0.9612903225806452,0.03870967741935484
1149913517,0,0,0,-Inf,1,0,NA,0,0,NA,NA,NA,NA,NA
1149913535,1,1133,44993,7.0326242610280065,10458,9.255122514748075,95.56279342723005,2.9304395947667,0.3010299956639812,0.7511032656663724,8.8261253309797e-4,-0.657978132471073,0.8015691329762408,0.001000155579756851
1149913539,1,1,131,0,26,3.258096538021482,NA,0,0,0,0,NA,0,0
1149913555,1,14,101,2.6390573296152584,207,5.332718793265369,85.6923076923077,1.146128035678238,0,0.9285714285714286,0,0.5214895100045883,1,0
1149913579,1,13,1914,2.5649493574615367,136,4.912654885736052,77.5,0.3010299956639812,0,0.07692307692307693,0,NA,0.022988505747126436,0
1149913613,1,3,253,1.0986122886681098,45,3.8066624897703196,100,0.3010299956639812,0,0.3333333333333333,0,-0.447949454229901,0.08695652173913043,0
1149913637,0,0,0,-Inf,340,5.8289456176102075,NA,0,0,NA,NA,NA,NA,NA
1149913751,0,0,0,-Inf,172,5.147494476813453,NA,0,0,NA,NA,NA,NA,NA
1149913785,1,300,12409,5.703782474656201,3780,8.237479288613633,90.4054054054054,1.8260748027008264,0.9542425094393249,0.22,0.02666666666666667,-0.35642868628105645,0.25384801353856074,0.01748730759932307
