caseid,totalnewsbinary,totalnewscount,totalnewsduration,log_news,totalvisits,log_total,total_news_score_duration,Average_domain_NewsG_Score_post,Count_Reliable_NewsG_Score_post,Count_Unreliable_NewsG_Score_post,Prop_Reliable_NewsG_Score_post,Prop_Unreliable_NewsG_Score_post,partisanship_news_diet_post,Prop_Reliable_NewsG_Score_post_dur,Prop_Unreliable_NewsG_Score_post_dur,Count_Unreliable_NewsG_Score_post_dur,Count_Reliable_NewsG_Score_post_dur,Average_domain_NewsG_Score_post_dur
1147325327,1,139,10569,4.9344739331306915,1624,7.392647520721623,9650,79.51612903225806,2.0530784434834195,1.1139433523068367,0.8057553956834532,0.08633093525179857,1.304502219320691,0.8987605260667991,0.014287065947582552,151,9499,81.23839378238343
1147338125,1,1,29,0,768,6.643789733147672,29,87.5,0.3010299956639812,0,1,0,NaN,1,0,0,29,87.5
1147357513,1,1739,38344,7.461065514354283,9125,9.118773178450692,3932,90.07911392405063,2.2013971243204513,0,0.09085681426106958,0,-0.4531980070005646,0.10254537867723763,0,0,3932,90.5309003051882
1147357727,1,35,2678,3.5553480614894135,1460,7.286191714702382,2593,66.5,1.2787536009528289,1.2304489213782739,0.5142857142857142,0.45714285714285713,1.523738927151194,0.5306198655713219,0.43764002987303957,1172,1421,68.18665638256846
1147357933,1,24,391,3.1780538303479458,1448,7.277938572945661,42,90.5,1.0413926851582251,0,0.4166666666666667,0,0.655300204878392,0.10741687979539642,0,0,42,91.07142857142857
1149913275,1,608,99449,6.410174881966167,2387,7.77779262633883,16401,87.63671875,2.110589710299249,0,0.21052631578947367,0,-0.18275458731771121,0.16491870204828607,0,0,16401,86.82641302359612
1149913277,1,31,243,3.4339872044851463,301,5.707110264748875,175,89.58333333333333,1.3979400086720377,0,0.7741935483870968,0,-0.47467677856516,0.720164609053498,0,0,175,86.9
1149913281,1,341,11912,5.831882477283517,2055,7.628031126930335,11912,86.38856304985337,2.4899584794248346,1.5314789170422551,0.9032258064516129,0.0967741935483871,-0.958784136487599,0.8224479516453996,0.1775520483546004,2115,9797,83.2989842175957
1149913289,1,138,10191,4.927253685157205,535,6.282266746896006,9298,94.90186915887851,2.03342375548695,0,0.7753623188405797,0,-0.42987130602759976,0.9123736630360122,0,0,9298,96.9959130995913
1149913291,1,192,24986,5.2574953720277815,2006,7.603897968521881,21416,95.75,2.2329961103921536,0,0.8854166666666666,0,-0.6848565322233944,0.857119987192828,0,0,21416,96.82585450130743
