caseid,totalnewsbinary_post_SM_ref,totalnewscount_post_SM_ref,log_news_post_SM_ref,Average_domain_NewsG_Score_post_SM_ref,Count_Reliable_NewsG_Score_post_SM_ref,Count_Unreliable_NewsG_Score_post_SM_ref,Prop_Reliable_NewsG_Score_post_SM_ref,Prop_Unreliable_NewsG_Score_post_SM_ref
1147325327,1,20,2.995732273553991,80.63888888888889,1.2304489213782739,0.47712125471966244,0.8,0.1
1147357513,1,70,4.248495242049359,93.92857142857143,0.9030899869919435,0,0.1,0
1147357727,1,6,1.791759469228055,78.75,0.6989700043360189,0.47712125471966244,0.6666666666666666,0.3333333333333333
1149913277,1,6,1.791759469228055,90,0.7781512503836436,0,0.8333333333333334,0
1149913291,1,12,2.4849066497880004,97.70833333333333,1.1139433523068367,0,1,0
1149913297,1,3,1.0986122886681098,100,0.47712125471966244,0,0.6666666666666666,0
1149913313,1,4,1.3862943611198906,91.25,0.6989700043360189,0,1,0
1149913315,1,3,1.0986122886681098,85.83333333333333,0.6020599913279624,0,1,0
1149913325,1,2,0.6931471805599453,65,0.3010299956639812,0.3010299956639812,0.5,0.5
1149913335,1,6,1.791759469228055,95,0.6989700043360189,0,0.6666666666666666,0
1149913353,1,78,4.356708826689592,90.73076923076923,1.8195439355418688,0,0.8333333333333334,0
1149913369,1,18,2.8903717578961645,91.25,1.2304489213782739,0,0.8888888888888888,0
1149913377,1,90,4.499809670330265,91.81159420289855,1.8388490907372552,0.3010299956639812,0.7555555555555555,0.011111111111111112
1149913395,1,16,2.772588722239781,93.5,0.7781512503836436,0,0.3125,0
1149913397,1,13,2.5649493574615367,90.76923076923077,1.146128035678238,0,1,0
1149913399,1,14,2.6390573296152584,61.17857142857143,0.9542425094393249,0.8450980400142568,0.5714285714285714,0.42857142857142855
1149913409,1,2,0.6931471805599453,88.75,0.47712125471966244,0,1,0
1149913413,1,1,0,100,0.3010299956639812,0,1,0
1149913415,1,1,0,NaN,0,0,0,0
1149913417,1,10,2.302585092994046,93.33333333333333,1,0,0.9,0
1149913427,1,30,3.4011973816621555,90,1.380211241711606,0,0.7666666666666667,0
1149913433,1,42,3.7376696182833684,92.94871794871794,1.6020599913279623,0,0.9285714285714286,0
1149913439,1,6,1.791759469228055,88,0.6020599913279624,0.3010299956639812,0.5,0.16666666666666666
1149913443,1,11,2.3978952727983707,85.66666666666667,0.6020599913279624,0,0.2727272727272727,0
