caseid,totalnewsbinary_All_ref,totalnewscount_All_ref,log_news_All_ref,Average_domain_NewsG_Score_All_ref,Count_Reliable_NewsG_Score_All_ref,Count_Unreliable_NewsG_Score_All_ref,Prop_Reliable_NewsG_Score_All_ref,Prop_Unreliable_NewsG_Score_All_ref
1147325327,1,74,4.30406509320417,71.55797101449275,1.7558748556724915,1.146128035678238,0.7567567567567568,0.17567567567567569
1147338125,1,1,0,NaN,0,0,0,0
1147357513,1,71,4.2626798770413155,90.90625,1.2304489213782739,0,0.22535211267605634,0
1147357933,1,4,1.3862943611198906,87.5,0.3010299956639812,0,0.25,0
1149913275,1,5,1.6094379124341003,94.16666666666667,0.6020599913279624,0,0.6,0
1149913277,1,19,2.9444389791664403,88.55263157894737,1.3010299956639813,0,1,0
1149913289,1,3,1.0986122886681098,100,0.47712125471966244,0,0.6666666666666666,0
1149913291,1,25,3.2188758248682006,84.72727272727273,1.3222192947339193,0.47712125471966244,0.8,0.08
1149913297,1,7,1.9459101490553132,94.16666666666667,0.6020599913279624,0,0.42857142857142855,0
1149913303,1,51,3.9318256327243257,96.30952380952381,1.6334684555795864,0,0.8235294117647058,0
1149913313,1,1,0,82.5,0.3010299956639812,0,1,0
1149913315,1,7,1.9459101490553132,92.5,0.6989700043360189,0,0.5714285714285714,0
1149913325,1,2,0.6931471805599453,100,0.47712125471966244,0,1,0
1149913329,1,2,0.6931471805599453,NaN,0,0,0,0
1149913335,1,83,4.418840607796598,91.5,1.7075701760979363,0,0.6024096385542169,0
1149913353,1,112,4.718498871295094,89.49418604651163,1.9395192526186185,0,0.7678571428571429,0
1149913361,1,1,0,87.5,0.3010299956639812,0,1,0
1149913369,1,81,4.394449154672439,89.23287671232876,1.8512583487190752,0.6020599913279624,0.8641975308641975,0.037037037037037035
1149913371,1,3,1.0986122886681098,89.16666666666667,0.6020599913279624,0,1,0
1149913373,1,28,3.332204510175204,93.80434782608695,1.380211241711606,0,0.8214285714285714,0
1149913375,1,82,4.406719247264253,91.54545454545455,1.7481880270062005,0,0.6707317073170732,0
1149913377,1,401,5.993961427306569,91.7992125984252,2.3961993470957363,0.8450980400142568,0.6184538653366584,0.014962593516209476
1149913393,1,1,0,87.5,0.3010299956639812,0,1,0
1149913395,1,22,3.091042453358316,90.9375,0.9542425094393249,0,0.36363636363636365,0
1149913397,1,52,3.9512437185814275,88.55813953488372,1.6232492903979006,0.47712125471966244,0.7884615384615384,0.038461538461538464
1149913399,1,119,4.77912349311153,62.07826086956522,1.8864907251724818,1.6020599913279623,0.6386554621848739,0.3277310924369748
1149913405,1,3,1.0986122886681098,87.5,0.3010299956639812,0,0.3333333333333333,0
1149913409,1,3,1.0986122886681098,88.33333333333333,0.6020599913279624,0,1,0
1149913413,1,6,1.791759469228055,85.5,0.7781512503836436,0,0.8333333333333334,0
1149913415,1,25,3.2188758248682006,90.66666666666667,1.2787536009528289,0,0.72,0
1149913417,1,37,3.6109179126442243,94.375,1.568201724066995,0,0.972972972972973,0
1149913421,1,15,2.70805020110221,97.08333333333333,1.1139433523068367,0,0.8,0
1149913427,1,23,3.1354942159291497,93.07692307692308,1.146128035678238,0,0.5652173913043478,0
1149913433,1,314,5.749392985908253,92.50816993464052,2.4871383754771865,0,0.9745222929936306,0
1149913435,1,3,1.0986122886681098,86.66666666666667,0.6020599913279624,0,1,0
1149913439,1,3,1.0986122886681098,94.16666666666667,0.6020599913279624,0,1,0
1149913441,1,10,2.302585092994046,97.5,0.9030899869919435,0,0.7,0
1149913443,1,23,3.1354942159291497,93.75,0.47712125471966244,0,0.08695652173913043,0
1149913445,1,362,5.8916442118257715,71.03107344632768,2.546542663478131,0.6020599913279624,0.9696132596685083,0.008287292817679558
1149913453,1,34,3.5263605246161616,92.98076923076923,1.4313637641589874,0,0.7647058823529411,0
1149913455,1,301,5.707110264748875,65.51041666666667,2.342422680822206,1.845098040014257,0.7275747508305648,0.2292358803986711
1149913467,1,26,3.258096538021482,88.75,0.8450980400142568,0,0.23076923076923078,0
1149913475,1,14,2.6390573296152584,84.28571428571429,0.8450980400142568,0.3010299956639812,0.42857142857142855,0.07142857142857142
1149913477,1,52,3.9512437185814275,92.70408163265306,1.6989700043360187,0,0.9423076923076923,0
1149913483,1,16,2.772588722239781,92,1.2041199826559248,0,0.9375,0
1149913511,1,69,4.23410650459726,93.41463414634147,1.6232492903979006,0,0.5942028985507246,0
1149913513,1,1,0,62,0.3010299956639812,0,1,0
1149913517,1,2,0.6931471805599453,87.5,0.3010299956639812,0,0.5,0
1149913519,1,245,5.501258210544727,91.96428571428571,1.8512583487190752,0,0.2857142857142857,0
1149913549,1,2,0.6931471805599453,59.75,0.3010299956639812,0.3010299956639812,0.5,0.5
1149913569,1,22,3.091042453358316,NaN,0,0,0,0
1149913577,1,47,3.8501476017100584,91.4,1.4771212547196624,0.3010299956639812,0.6170212765957447,0.02127659574468085
1149913583,1,12,2.4849066497880004,95,0.47712125471966244,0,0.16666666666666666,0
1149913591,1,14,2.6390573296152584,73.11111111111111,0.7781512503836436,0.6989700043360189,0.35714285714285715,0.2857142857142857
1149913635,1,137,4.919980925828125,100,0.3010299956639812,0,0.0072992700729927005,0
1149913703,1,1090,6.993932975223189,90.48564814814814,3.03382569395331,0,0.9908256880733946,0
1149913749,1,173,5.153291594497779,95.29411764705883,1.255272505103306,0,0.09826589595375723,0
1149913763,1,28,3.332204510175204,89.73214285714286,1.462397997898956,0,1,0
1149913765,1,1,0,100,0.3010299956639812,0,1,0
1149913777,1,1,0,NaN,0,0,0,0
1149913781,1,1,0,87.5,0.3010299956639812,0,1,0
1149913805,1,30,3.4011973816621555,94.6875,0.9542425094393249,0,0.26666666666666666,0
1149913837,1,18,2.8903717578961645,93.92857142857143,1.1760912590556813,0,0.7777777777777778,0
1149913839,1,3,1.0986122886681098,95,0.6020599913279624,0,1,0
1149913841,1,4,1.3862943611198906,90,0.3010299956639812,0,0.25,0
1149913855,1,1,0,NaN,0,0,0,0
1149913861,1,2,0.6931471805599453,88.75,0.47712125471966244,0,1,0
1149913865,1,5,1.6094379124341003,90,0.7781512503836436,0,1,0
1149913897,1,20,2.995732273553991,99,0.7781512503836436,0,0.25,0
1149913909,1,62,4.127134385045092,65.88235294117646,1,0.9542425094393249,0.14516129032258066,0.12903225806451613
1149913935,1,191,5.25227342804663,NaN,0,0,0,0
1149913937,1,7,1.9459101490553132,83.57142857142857,0.9030899869919435,0,1,0
1149913979,1,6,1.791759469228055,67.5,0.47712125471966244,0.3010299956639812,0.3333333333333333,0.16666666666666666
1149914039,1,13,2.5649493574615367,87.70833333333333,1.1139433523068367,0,0.9230769230769231,0
1149914067,1,63,4.143134726391533,95.83333333333333,0.6020599913279624,0,0.047619047619047616,0
1150928257,1,6,1.791759469228055,92,0.7781512503836436,0,0.8333333333333334,0
1150928265,1,21,3.044522437723423,86.11111111111111,1.255272505103306,0.3010299956639812,0.8095238095238095,0.047619047619047616
1150928269,1,6,1.791759469228055,73.66666666666667,0.7781512503836436,0.3010299956639812,0.8333333333333334,0.16666666666666666
1150928277,1,1,0,95,0.3010299956639812,0,1,0
1150928279,1,19,2.9444389791664403,74.92857142857143,1.1139433523068367,0.47712125471966244,0.631578947368421,0.10526315789473684
1150928283,1,6,1.791759469228055,89.91666666666667,0.8450980400142568,0,1,0
1150928287,1,7,1.9459101490553132,96.25,0.47712125471966244,0,0.2857142857142857,0
1150928291,1,24,3.1780538303479458,85.5,1,0,0.375,0
1150928297,1,14,2.6390573296152584,81.25,1.1139433523068367,0.47712125471966244,0.8571428571428571,0.14285714285714285
1150928299,1,1,0,NaN,0,0,0,0
1150928301,1,8,2.0794415416798357,86,0.47712125471966244,0,0.25,0
1150928303,1,33,3.4965075614664802,94.58064516129032,1.505149978319906,0,0.9393939393939394,0
1150928305,1,84,4.430816798843313,88.70175438596492,1.7403626894942439,0.6020599913279624,0.6428571428571429,0.03571428571428571
1150928315,1,1,0,NaN,0,0,0,0
1150928319,1,1,0,NaN,0,0,0,0
1150928325,1,47,3.8501476017100584,90.5,1.4913616938342726,0,0.6382978723404256,0
1150928339,1,3,1.0986122886681098,100,0.3010299956639812,0,0.3333333333333333,0
1150928343,1,63,4.143134726391533,78.5625,1.591064607026499,1.0413926851582251,0.6031746031746031,0.15873015873015872
1150928345,1,23,3.1354942159291497,92.33333333333333,1.2041199826559248,0,0.6521739130434783,0
1150928363,1,191,5.25227342804663,87.63690476190476,1.9294189257142926,0,0.4397905759162304,0
1150928367,1,2,0.6931471805599453,100,0.3010299956639812,0,0.5,0
1150928369,1,1,0,90,0.3010299956639812,0,1,0
1150928371,1,4,1.3862943611198906,90,0.6989700043360189,0,1,0
1150928379,1,3,1.0986122886681098,91.66666666666667,0.6020599913279624,0,1,0
1150928397,1,24,3.1780538303479458,87.21052631578948,1.3010299956639813,0,0.7916666666666666,0
1150928401,1,47,3.8501476017100584,90.85714285714286,1.5563025007672873,0,0.7446808510638298,0
1150928413,1,55,4.007333185232471,73.66666666666667,1.4913616938342726,1.3979400086720377,0.5454545454545454,0.43636363636363634
1150928415,1,10,2.302585092994046,90,0.9030899869919435,0,0.7,0
