caseid,date,totalnewsbinary_day,totalnewscount_day,totalnewsduration_day,log_news_day,totalvisits_day,log_total_day,Average_domain_NewsG_Score_day,Count_Reliable_NewsG_Score_day,Count_Unreliable_NewsG_Score_day,Prop_Reliable_NewsG_Score_day,Prop_Unreliable_NewsG_Score_day,partisanship_news_diet_day,Prop_Reliable_NewsG_Score_day_dur,Prop_Unreliable_NewsG_Score_day_dur
1147325621,2020-05-21,0,0,0,-Inf,34,3.5263605246161616,NA,0,0,NA,NA,NA,NA,NA
1147325621,2020-05-22,0,0,0,-Inf,3,1.0986122886681098,NA,0,0,NA,NA,NA,NA,NA
1147325621,2020-05-26,0,0,0,-Inf,11,2.3978952727983707,NA,0,0,NA,NA,NA,NA,NA
1147325621,2020-05-27,0,0,0,-Inf,8,2.0794415416798357,NA,0,0,NA,NA,NA,NA,NA
1147325621,2020-05-29,0,0,0,-Inf,19,2.9444389791664403,NA,0,0,NA,NA,NA,NA,NA
1147325621,2020-05-31,0,0,0,-Inf,1,0,NA,0,0,NA,NA,NA,NA,NA
1147325621,2020-06-01,0,0,0,-Inf,1,0,NA,0,0,NA,NA,NA,NA,NA
1147325621,2020-06-07,0,0,0,-Inf,1,0,NA,0,0,NA,NA,NA,NA,NA
1147325621,2020-06-12,0,0,0,-Inf,4,1.3862943611198906,NA,0,0,NA,NA,NA,NA,NA
1147325621,2020-06-13,0,0,0,-Inf,5,1.6094379124341003,NA,0,0,NA,NA,NA,NA,NA
1147325621,2020-06-17,0,0,0,-Inf,1,0,NA,0,0,NA,NA,NA,NA,NA
1147325621,2020-06-18,0,0,0,-Inf,1,0,NA,0,0,NA,NA,NA,NA,NA
1147325621,2020-06-20,0,0,0,-Inf,1,0,NA,0,0,NA,NA,NA,NA,NA
1147325621,2020-06-22,0,0,0,-Inf,1,0,NA,0,0,NA,NA,NA,NA,NA
1147325621,2020-06-23,0,0,0,-Inf,1,0,NA,0,0,NA,NA,NA,NA,NA
1147325621,2020-06-25,0,0,0,-Inf,1,0,NA,0,0,NA,NA,NA,NA,NA
1147325621,2020-06-28,0,0,0,-Inf,1,0,NA,0,0,NA,NA,NA,NA,NA
1147325621,2020-07-01,0,0,0,-Inf,15,2.70805020110221,NA,0,0,NA,NA,NA,NA,NA
1147325621,2020-07-05,0,0,0,-Inf,1,0,NA,0,0,NA,NA,NA,NA,NA
1147325621,2020-07-07,0,0,0,-Inf,3,1.0986122886681098,NA,0,0,NA,NA,NA,NA,NA
1147325621,2020-07-08,0,0,0,-Inf,12,2.4849066497880004,NA,0,0,NA,NA,NA,NA,NA
1147325621,2020-07-13,0,0,0,-Inf,1,0,NA,0,0,NA,NA,NA,NA,NA
1147338115,2020-05-21,0,0,0,-Inf,1,0,NA,0,0,NA,NA,NA,NA,NA
1147338115,2020-05-22,1,4,44,1.3862943611198906,11,2.3978952727983707,87.5,0.6989700043360189,0,1,0,NA,1,0
1147338115,2020-05-24,1,3,7,1.0986122886681098,3,1.0986122886681098,NA,0,0,0,0,NA,0,0
1147338115,2020-05-25,0,0,0,-Inf,9,2.1972245773362196,NA,0,0,NA,NA,NA,NA,NA
1147338115,2020-05-26,1,10,154,2.302585092994046,115,4.74493212836325,90,1.0413926851582251,0,1,0,NA,1,0
1147338115,2020-05-27,0,0,0,-Inf,1,0,NA,0,0,NA,NA,NA,NA,NA
1147338115,2020-05-28,1,5,91,1.6094379124341003,64,4.1588830833596715,100,0.7781512503836436,0,1,0,NA,1,0
