id,W1_pid3,W1_gender,W1_educ,party7,partylean,age,agesq,female,raceeth,educ,ideo,income,employ,state,polint,freq_tv,freq_np,freq_rad,freq_net,freq_disc,log_news_pre,diet_mean_pre,W1_endtime,W2_endtime,W3_PATA306_treatment_w3,W3_Browser_treatment_w3,starttime_w3,endtime_w3,W4_consent,endtime,W5_endtime,W6_endtime,endtime_w7,endtime_w8,comp_fn,comp_hp,log_fn_4w,log_fn_6w,log_fn_pre,log_hp_4w,log_hp_6w,log_hp_pre,policy1_gc_pre,policy3_nafta_pre,policy4_pp_pre,policy5_biz1_pre,policy6_iso_pre,policy8_biz2_pre,policy7_ss,policy9_nk_pre,policy10_harass_pre,policy11_islam_pre,policy12_cc_pre,policy13_fbi_pre,policy14_imm_pre,issue_scale,issue_scale_w5,issue_scale_w7,issue_scale_pre,policy14_imm,imm2,imm3,imm_issue_scale,imm_issue_scale_w5,imm_issue_scale_w7,log_cons_1w,log_cons_pre,log_lib_1w,log_lib_pre,log_total_pre,log_cons_4w,log_lib_4w,log_cons_6w,log_lib_6w,weekly_log_news_plus1_1w,weekly_log_news_plus1_4w,weekly_log_news_plus1_6w,weekly_log_cons_4w,weekly_log_cons_6w,weekly_log_lib_4w,weekly_log_lib_6w,cons_links,cons_links_pre,total_links_pre,lib_links,lib_links_pre,follows_cons_media,follows_elites,follows_lib_media,W4_PATA450a,W2_PATA2_3_Dem,W4_PATA450b,W2_PATA2_3_Rep,W4_PATA450e,W2_PATA2_6,affpol_out,affpol_pre,ppol,W2_PATA2_1_m_1,W2_PATA2_1_m_2,W2_PATA2_1_m_3,W2_PATA2_1_m_4,W2_PATA2_1_m_5,W2_PATA2_1_m_6,W2_PATA2_1_m_7,W2_PATA2_1_m_8,W2_PATA2_1_m_9,W2_PATA2_1_m_10,W2_PATA2_1_m_11,W2_PATA2_1_m_12,W2_PATA2_1_m_13,W2_PATA2_1_m_14,W2_PATA2_1_m_15,W2_PATA2_1_m_16,W2_PATA2_1_m_17,W2_PATA2_1_m_18,W2_PATA2_1_m_19,W2_PATA2_1_m_20,W2_PATA2_1_m_21,W3_PATA300_1_w3,W3_PATA300_2_w3,W3_PATA300_3_w3,W3_PATA300_4_w3,W3_PATA300_5_w3,W3_PATA300_6_w3,W3_PATA300_7_w3,W3_PATA300_8_w3,W3_PATA300_9_w3,W3_PATA300_10_w3,W3_PATA300_11_w3,W3_PATA300_12_w3,W3_PATA300_13_w3,W3_PATA300_14_w3,W3_PATA300_15_w3,W3_PATA300_16_w3,W3_PATA300_17_w3,W3_PATA300_18_w3,W3_PATA300_19_w3,W3_PATA300_20_w3,W3_PATA300_21_w3,agenda_lean,agenda_lean_w5,agenda_lean_w8,agenda_lean_pre,trump_approve,trump_approve_w5,trump_approve_pre,cong_rep_approve,cong_rep_approve_pre,cong_dem_approve,cong_dem_approve_pre,vote_after,vote_pre,trust_fox,trust_fox_w5,trust_hp,trust_hp_w5,bias,trust,trust_w7,trust_w8,W4_PATA430a,W4_PATA430b,event_mokken,event_mokken_w5,event_pre_mokken,W2_PATA2_10_m_3,W4_PATA409_1,predicted_house_winner_gop,predicted_vote_share_gop,predicted_district_winner_gop,predicted_house_winner_dem,predicted_vote_share_dem,predicted_district_winner_dem,prediction_certainty,W4_PATA462_a,W4_PATA462_b,W4_PATA462_c
0b9fb6fe532e69827f935cad3c01da4f,1,1,5,1,Democrat,63,3969,0,White,5,2,7,Full-time,37,4,6,3,6,7,7,NA,0,4/27/18 2:45,8/28/18 15:12,NA,NA,NA,NA,1,10/30/18 22:57,12/20/18 19:48,1/24/19 19:32,4/1/19 22:12,10/9/19 16:13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,1,NA,NA,3,5,1,1,-0.48893825,-0.243373544,-0.689955609,-0.641713321,1,1,4,1.042985402,1.140532071,1.028652174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,99,0,1,7,7,95,98,1,2,2,1,2,2,2,1,1,2,1,2,2,2,2,1,1,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.490172576,0.443288025,0.45793082,NA,1,1,2,0,0,1,0,1,0,1,1,4,4,2,4,4,4,14,4,0.333333333,3,1,1,1,TRUE,55,FALSE,FALSE,45,TRUE,8,1,1,5
4197507f12350e6658bc08c285d4613e,1,2,6,1,Democrat,44,1936,1,White,6,1,7,Full-time,27,3,5,4,4,7,5,NA,0,7/3/18 20:12,8/28/18 15:13,NA,NA,NA,NA,1,10/31/18 13:41,12/20/18 19:55,1/24/19 19:45,4/3/19 16:43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,3,3,NA,NA,1,5,1,1,-0.873382016,-0.361651566,NA,-0.274674798,1,1,4,1.042985402,1.140532071,1.161648226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,6,8,7,7,94,92,3.666666667,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23895201,0.198303229,NA,NA,1,1,1,0,0,1,0,1,0,2,2,3,3,-1,2,2,NA,2,4,0.333333333,3,1,1,1,FALSE,NA,FALSE,TRUE,NA,TRUE,7,1,1,5
f8b531355a063ef2ea63f7ddaa67c306,3,1,6,3,Democrat,42,1764,0,Asian / other,6,2,11,Full-time,53,4,2,2,1,7,4,3.17805383,-0.17487875,7/3/18 23:23,8/28/18 15:14,FoxNews,Chrome,10/5/18 22:39,10/5/18 22:47,1,10/30/18 22:31,NA,1/24/19 23:53,4/1/19 22:35,10/9/19 19:57,0,0,0,0,0,0,0,0,4,5,1,4,2,3,2,2,3,4,5,2,4,-0.129982918,NA,-0.121754767,-0.176304638,4,6,4,-0.450459325,NA,0.467970305,0,0,2.833213344,3.17805383,7.203405521,0,4.304065093,0,4.418840608,2.833213344,2.957511061,2.685577345,0,0,2.957511061,2.685577345,0,0,0,0,0,0,6,5,72,82,17,11,7,6,55,71,4.666666667,2,2,1,2,2,2,1,1,1,1,2,2,1,1,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,2,1,1,2,2,0.299899732,NA,0.363653351,0.129174216,1,NA,1,0,0,1,1,0,0,2,NA,2,NA,-1,3,4,3,40,39,0.333333333,NA,1,1,1,FALSE,43,FALSE,TRUE,57,TRUE,7,1,2,5
777b5e86cae0379e2ee4b7f21df46586,3,1,4,5,Republican,63,3969,0,White,4,3,6,Permanently disabled,34,4,6,2,2,6,4,NA,0,4/25/18 19:23,8/28/18 15:14,Control,IE,10/5/18 22:28,10/5/18 23:01,1,10/30/18 23:10,12/21/18 0:13,1/24/19 19:49,4/1/19 22:39,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,2,5,2,5,4,1,5,1,11,11,1.767634275,1.81627403,1.694723811,1.651116639,11,11,1,-1.045874421,-1.579371228,-1.641761117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,56,50,1,1,56,50,2.666666667,1,1,2,1,1,1,2,2,2,1,1,1,1,2,2,2,2,1,2,1,2,2,1,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,1,2,1,2,-0.203227342,-0.227365962,NA,-0.199662187,5,5,5,1,1,0,0,1,1,3,3,1,1,-2,1,1,NA,10,3,0.333333333,4,1,2,1,TRUE,53,TRUE,FALSE,47,FALSE,10,5,5,1
341a9697fb54fd94ebd14b1e332c8d77,1,1,5,2,Democrat,75,5625,0,White,5,2,9,Part-time,17,4,7,6,3,7,6,NA,0,7/3/18 19:34,8/28/18 15:14,Control,Chrome,10/6/18 3:58,10/6/18 4:02,1,10/30/18 22:34,12/20/18 20:01,1/24/19 22:50,4/2/19 14:24,10/9/19 19:47,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,5,3,4,1,2,5,3,5,1,3,-0.561820801,-0.76948143,-0.860935509,-0.97106502,2,3,4,0.490844507,1.140532071,0.74831124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,85,11,11,6,7,69,74,3.666666667,2,2,2,2,1,2,1,1,1,1,2,2,1,1,1,1,2,2,1,2,2,2,1,1,2,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,2,0.335033134,0.339645449,0.36794385,0.26155976,1,1,1,0,0,1,1,1,1,1,1,2,2,0,4,4,4,35,4,0.333333333,3,1,1,1,FALSE,40,FALSE,TRUE,60,TRUE,8,1,1,5
7fed1a3435d2ab1d884cb3daa7580bf3,2,1,4,6,Republican,55,3025,0,White,4,4,8,Full-time,48,4,4,1,2,7,5,1.098612289,0.555422222,4/24/18 23:54,8/28/18 15:15,Control,Chrome,10/6/18 0:27,10/6/18 0:33,1,10/31/18 12:17,12/22/18 1:24,1/25/19 0:10,4/2/19 0:29,10/9/19 16:14,0,0,1.609437912,2.564949357,2.079441542,0,0,0,1,2,3,2,4,1,4,4,1,3,1,8,5,NA,NA,1.583718389,1.522557057,5,11,3,-0.89061092,-0.732641012,-0.757691824,0,0,0,1.098612289,5.293304825,0,0,1.098612289,1.609437912,0,0,0.693147181,0,0.287682072,0,0.510825624,NA,NA,NA,NA,NA,NA,NA,NA,3,22,78,85,4,1,75,63,3,1,1,2,1,1,1,2,2,2,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,1,-0.163334589,-0.132208842,-0.030798392,-0.050102473,5,5,5,1,1,0,0,1,1,3,3,2,1,-2,1,1,1,24,4,0.166666667,2,1,2,1,TRUE,49,TRUE,FALSE,51,FALSE,10,1,3,1
df8a1b1ef6789ec5f3d3797a503104d3,3,2,5,4,NA,28,784,1,White,5,3,4,Full-time,51,NA,2,1,4,4,4,NA,0,4/30/18 14:27,8/28/18 15:15,Control,Chrome,10/17/18 15:18,10/17/18 15:23,NA,NA,NA,NA,4/6/19 21:54,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,1,3,3,3,NA,1,5,1,4,4,4,NA,NA,-0.706246283,-0.007459994,NA,NA,NA,NA,NA,0.895656122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,50,NA,51,NA,6,NA,NA,NA,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,2,NA,NA,NA,0.289231654,NA,NA,1,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42460ddf822ddfb5521e07ee1741a806,3,1,6,4,Independent,66,4356,0,White,6,4,6,Retired,26,4,6,1,3,2,2,1.609437912,0.04046,5/25/18 17:26,8/28/18 15:15,FoxNews,Firefox,10/5/18 23:17,10/5/18 23:23,1,10/30/18 23:49,12/20/18 21:23,1/24/19 21:02,4/2/19 1:17,10/9/19 18:56,0,0,5.036952602,5.036952602,0.693147181,0,0,0,1,1,3,2,4,4,2,1,3,5,1,9,9,2.132712784,1.500317442,1.923526874,1.77533775,6,11,1,0.085050462,-1.579371228,-0.463002059,2.079441542,0.693147181,0,1.386294361,7.908387159,2.48490665,0,2.48490665,0,2.079441542,1.32175584,1.041453875,1.32175584,1.041453875,0,0,NA,NA,NA,NA,NA,NA,NA,NA,3,4,52,80,4,2,NA,NA,4.666666667,1,1,1,1,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,0.078458945,-0.083103447,-0.064379454,-0.13281592,5,5,5,1,1,0,0,1,1,4,4,1,1,-2,1,1,1,14,4,0.25,3,0.666666667,1,1,TRUE,77,TRUE,FALSE,23,FALSE,7,5,5,1
0d3c5d101043a7def8fce68d89bc3b1e,1,1,6,2,Democrat,30,900,0,Asian / other,6,2,9,Homemaker,42,4,1,5,1,7,5,2.197224577,0.0388875,7/3/18 21:11,8/28/18 15:15,FoxNews,Chrome,10/6/18 3:41,10/6/18 3:49,1,10/31/18 1:37,12/20/18 19:49,1/25/19 0:01,4/1/19 23:31,10/10/19 3:51,0,0,0.693147181,0.693147181,0,0,0,0,4,4,1,4,2,3,2,3,3,3,4,2,2,NA,-0.098681162,-0.437310013,-0.289187639,2,4,4,0.327866547,0.345067232,0.496667966,0.693147181,0,1.098612289,2.197224577,8.136518252,0.693147181,3.465735903,1.098612289,4.127134385,1.386294361,2.197224577,2.442347035,0.223143551,0.287682072,2.1690537,2.41293315,NA,NA,NA,NA,NA,NA,NA,NA,29,62,13,36,4,4,16,26,5.333333333,2,1,1,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,1,2,2,2,2,0.37385269,0.39432953,0.200645233,0.240460315,1,1,1,0,0,0,1,1,1,2,2,3,2,-1,3,3,3,24,3,0.166666667,4,1,1,2,FALSE,46,FALSE,TRUE,54,TRUE,7,1,3,4
fb2753848d3070e95c01f03a96f6c2a2,3,2,2,4,Independent,57,3249,1,White,2,3,3,Homemaker,48,4,7,6,5,NA,6,3.828641396,0.01364346,7/8/18 16:09,8/28/18 15:16,HuffPost,Edge,10/6/18 0:16,10/6/18 0:27,1,10/31/18 2:01,12/20/18 22:41,1/25/19 5:29,4/4/19 18:59,NA,0,0,0.693147181,0.693147181,0,0,0,0.693147181,3,3,1,3,4,5,1,2,5,3,4,3,10,-0.709137392,-0.326643741,-0.278326592,-0.318560389,10,10,1,-0.656711485,-1.4485026,-1.214075301,2.708050201,1.791759469,1.386294361,3.713572067,10.41828528,3.135494216,2.772588722,3.663561646,2.890371758,2.890371758,2.327277706,2.319114395,1.871802177,1.992430165,1.558144618,1.343734747,NA,NA,NA,NA,NA,NA,NA,NA,50,50,50,48,4,NA,NA,NA,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,2,2,2,1,-0.060747224,0.107177314,NA,0.28374645,2,2,2,0,0,0,0,1,1,2,3,3,3,0,3,3,NA,44,8,0.25,2,0.666666667,1,1,FALSE,NA,FALSE,TRUE,NA,FALSE,5,2,3,4
